HS Code,Description,Category
30549,smoked fish excl salmon and herrings,3
30559,dried fish not smoked excl cod,3
30562,cod salted or in brine but not dried or smoked,3
30569,other fish salted or in brine but not dried or,3
30612,frozen lobsters,3
30614,frozen crabs,3
30621,rock lobster and other sea crawfish excl froz,3
30623,shrimps and prawns excl frozen,3
30629,crustaceans not frozennesincludfloursmeals,3
30721,scallops live fresh or chilled,3
30731,mussels live fresh or chilled,3
30741,cuttle fish and squid live fresh or chilled,3
30751,octopus live fresh or chilled,3
30760,snails other than sea snails,3
40110,milk and cream of 1 fat not concentrated or,4
40130,milk and cream of 6 fat not concentrated or,4
40221,milk and cream in solid forms of 15 fat uns,4
40291,concentrated milk and cream unsweetened excl,4
40310,yogurt,4
40410,whey  modified whey concentrated or not or c,4
40500,butter and other fats and oils derived from mil,4
40620,grated or powdered cheese,4
40640,blueveined cheese,4
40700,birds eggs in shell fresh preserved or cook,4
40819,egg yolks excl dried,4
40899,birds eggs not in shell excl dried,4
50100,human hair and waste unworked,5
50290,badger and other brush making hair,5
50400,guts bladders and stomachs of animals excl f,5
50590,skins and parts of birds excl feathers for st,5
50690,bones and horncores excl ossein,5
50790,tortoiseshell whalebone and whalebonehair e,5
50900,natural sponges of animal origin,5
51110,bovine semen,5
60110,dormant bulbs tubers rhizomes,6
60210,unrooted cuttings and slips,6
60230,rhododendrons and azaleas,6
60291,mushroom spawn,6
60310,fresh cut flowers and buds,6
60410,moses and lichens for ornamental purposes fres,6
70110,seed potatoes,7
70200,tomatoes fresh or chilled,7
70320,garlic fresh or chilled,7
70410,cauliflowers and headed broccoli fresh or chil,7
70490,white and red cabbages kohlrabi kaleetc f,7
70519,lettuce fresh or chilled excl cabbage lettu,7
70529,chicory fresh or chilled excl witloof,7
70690,beetrootradishes and other similar edible ro,7
70810,peas fresh or chilled,7
70890,leguminous vegetables fresh or chilled nes,7
70920,asparagus fresh or chilled,7
70940,celery fresh or chilled,7
70952,truffles fresh or chilled,7
70970,spinach fresh or chilled,7
71010,potatoes frozen,7
71022,shelled or unshelled beans frozen,7
71030,spinach frozen,7
71080,vegetables frozen nes,7
71110,onions provisionally preserved not for immedia,7
71130,capers provisionally preserved not for immedia,7
71190,other vegetables and  mixture of vegetables pro,7
71220,dried onions,7
71290,dried vegetables nes,7
71320,dried chickpeas shelled,7
71332,dried adzuki beans shelled,7
71339,dried beans shelled nes,7
71350,dried broad beans and horse beans shelled,7
71410,manioc fresh or dried,7
80110,coconuts fresh or dried,8
80130,cashew nuts fresh or dried,8
80212,almonds without shells fresh or dried,8
80222,hazlenuts without shells fresh or dried,8
80232,walnuts without shells fresh or dried,8
80250,pistachio fresh or dried,8
80300,bananas including plantains fresh or dried,8
80420,figs fresh or dried,8
80440,avocados fresh or dried,8
80510,oranges fresh or dried,8
80530,lemons and limes fresh or dried,8
80590,citrus fruit fresh or dried nes,8
80620,dried grapes,8
80720,papaws papayas fresh,8
80820,pears and quinces fresh,8
80920,cherries fresh,8
80940,plums and sloes fresh,8
81020,raspberries blackberries mulberries and logan,8
81040,cranberries milberriesetc fresh,8
81110,strawberries frozen,8
81190,other fruit and nuts frozen nes,8
81220,strawberries provisionally preserved not for,8
81310,dried apricots,8
81330,dried apples,8
81350,mixtures of dried fruit and nuts nes,8
90111,coffee not roasted or decaffeinated,9
90121,roasted coffee not decaffeinated,9
90130,coffee husks and skins,9
90210,green tea in immediate packings,9
90230,black tea fermented and partly fermented tea,9
90300,mate,9
90412,pepper crushed or ground,9
90500,vanilla,9
90620,cinnamon and cinnamontree flowers crushed or,9
90810,nutmeg,9
90830,cardamoms,9
90920,seeds of coriander,9
90940,seeds of caraway,9
91010,ginger,9
91030,turmeric curcuma,9
91050,curry,9
100110,durum wheat,10
100200,rye,10
100400,oats,10
100590,maize excl seed,10
100620,husked brown rice,10
100640,broken rice,10
100810,buckwheat,10
100830,canary seed,10
110100,wheat or meslin flour,11
110220,maize corn flour,11
110290,other cereal flour nes,11
110312,groats and meal of oats,11
110314,groats and meal of rice,11
110321,wheat pellets,11
110411,rolled or flaked barley grains,11
110419,rolled or flaked grains of other cereals nes,11
110422,other worked grains of oats nes,11
110429,other worked grains of other cereals nes,11
110510,potato flour and meal,11
110610,flour and meal of the dried leguminous vegetabl,11
110630,flour meal and powder of products of chapter 8,11
110720,roasted malt,11
110812,maize corn starch,11
110814,manioc cassava starch,11
110820,inulin,11
120100,soya beans,12
120220,shelled groundnuts not roasted or otherwise c,12
120400,linseed,12
120600,sunflower seeds,12
120720,cotton seeds,12
120740,sesamum seeds,12
120760,safflower seeds,12
120792,shea nuts karite nuts,12
120810,soya bean flour and meal,12
120911,sugar beet seed of a kind used for sowing,12
120921,lucerne alfalfa seed of a kind used for sowi,12
120923,fescue seed of a kind used for sowing,12
120925,rye grass seed of a kind used for sowing,12
120929,other seeds of forage plants of a kind used fo,12
120991,vegetable seed of a kind used for sowing,12
121010,hop cones excl ground powdered or pellets,12
121110,liquorice roots of a kind used in perfumery p,12
121190,other plants or parts of a kind used in perfum,12
121220,seaweeds and other algae used for human consump,12
121291,sugar beet fresh or dried,12
121299,vegetable products used primarily for human con,12
121410,lucerne alfalfa meal and pellets,12
130110,lac,13
130190,natural gums resins gumresins and balsams e,13
130212,liquorice sap and extract,13
130214,sap and extract of pryrethrum and roots of plan,13
130220,pectic substances pectinates and pectates,13
130232,mucilages and thickeners of locust beans bean,13
140110,bamboos,14
140190,vegetable materials for plaiting excl bamboo,14
140291,vegetable hair,14
140310,broomcorn,14
140410,raw vegetable materials primarily for dyeing or,14
150100,lard other pig fat and poultry fat rendered,15
150300,lard stearin lardoil oleostearin oleooil an,15
150420,fish fats oils and fractions excl fish liver,15
150510,crude wool grease,15
150600,other animal fats and oils and their fractions,15
150790,soyabean oil excl crude and fractions,15
150890,groundnut oil excl crude and fractions,15
150990,olive oil and fractions excl virgin,15
151110,crude palm oil,15
151211,crude sunflowerseed and safflower oil and frac,15
151221,crude cottonseed oil whether or not gossypol,15
151311,crude coconut copra oil and fractions thereof,15
151321,crude palm kernel or babassu oil and fractions,15
151410,crude rape colza or mustard oil and fractions,15
151511,crude linseed oil,15
151521,crude maize corn oil,15
151530,castor oil and its fractions,15
151550,sesame oil and fractions,15
151590,other fixed vegetable fats and fractions nes,15
151620,vegetable fats and oils and their fractions hy,15
151790,edible preparations of fats and oils nes,15
151911,indusmonocarboxylic fatty acidsacid oils from,15
151913,indusmonocarboxfatty acidsacid oils from ref,15
151920,industrial fatty alcohols,15
152090,glycerol excl crude including synthetic,15
152190,beeswax other insect waxes and spermaceti,15
160100,sausages and similar products food preparation,16
160220,preparations of animal liver,16
160239,preparations of poultry excl turkey,16
160242,preparations of swine shoulders and cuts,16
160250,preparations of meat of bovine animals,16
160300,extracts and juices of meat fish and aquatic i,16
160412,prepared or preserved herrings excl minced,16
160414,prepared or preserved tuna skipjack and bonito,16
160416,prepared or preserved anchovies excl minced,16
160420,other prepared or preserved fish nes,16
160510,crab prepared or preserved,16
160530,lobster prepared or preserved,16
170111,raw cane sugar in solid form,17
170191,cane or beet sugar containing added flavouring,17
170210,lactose and lactose syrup,17
170230,glucose and glucose syrup containing 20 fruc,17
170250,chemically pure fructose,17
170290,artificial honey caramel and other sugars inc,17
170390,molasses resulting from the extraction or refin,17
180100,cocoa beans whole or broken raw or roasted,18
180310,cocoa paste not defatted,18
180400,cocoa butter fat and oil,18
180610,cocoa powder containing added sugar or other s,18
180631,chocolate etc containing cocoa in blocks sl,18
190110,preparations for infant use for retail sale o,19
190190,other food preparations of flour etc nes,19
190219,uncooked pasta not containing eggs not stuffe,19
190230,other pasta nes,19
190300,tapioca and substitutes prepared from starch in,19
190490,prepared cereals in grain form excl maize,19
190520,gingerbread and the like,19
190540,rusks toasted bread and similar toasted produc,19
200110,cucumbers and gherkins preserved by vinegar or,20
200190,other vegetables fruits etc preserved by vin,20
200290,tomatoes preserved otherwise than by vinegar o,20
200320,truffles prepared or preserved otherwise than,20
200490,other vegetables preserved other than by vinega,20
200520,potatoes preserved other than by vinegar or ac,20
200540,peas preserved other than by vinegar or acetic,20
200559,beans unshelled preserved other than by vineg,20
200570,olives preserved other than by vinegar or acet,20
200590,vegetables preserved other than by vinegar etc,20
200710,jams fruit jellies marmalades etc homogeniz,20
200799,other jams fruit jellies marmalades etc bei,20
200819,nuts and seeds including mixtures preserved,20
200830,citrus fruit prepared or preserved excl thos,20
200850,apricots prepared or preserved excl those of,20
200870,peaches prepared or preserved excl those of,20
200891,palm hearts prepared or preserved excl those,20
200899,other fruit etc prepared or preserved nes,20
200919,unfrozen orange juice unfermented not contain,20
200930,single citrus fruit juice excl orange and gr,20
200950,tomato juice unfermented not containing added,20
200970,apple juice unfermented not containing added,20
210110,extracts essences concentrates and preparatio,21
210130,roasted coffee substitutes incl chicory etc,21
210220,inactive yeasts other singlecell microorgani,21
210310,soya sauce,21
210330,mustard flour and meal prepared mustard,21
210410,soups and broths and preparations therefor,21
210500,ice cream and other edible ice whether or not,21
220110,mineral waters and aerated waters unsweetened,22
220210,waters incl mineral and aerated with added,22
220300,beer made from malt,22
220421,wine not sparkling grape must with by alcoho,22
220430,other grape must nes,22
220590,vermouth and other wine of fresh grapes flavou,22
220710,undenatured ethyl alcohol of alcoholic strengt,22
220810,compound alcoholic preparations for manufacture,22
220830,whiskeys,22
220850,gin and geneva,22
230110,flours meats and pellets of meat unfit for hu,23
230210,brans sharps and other residues of maize,23
230230,brans sharps and other residues of wheat,23
230250,brans sharps and other residues of leguminous,23
230320,beet pulp bagasse and other waste of sugar man,23
230400,oilcake and other solid residues of soyabean,23
230610,oilcake and other solid residues of cotton see,23
230630,oilcake and other solid residues of sunflower,23
230650,oilcake and other solid residues of coconut or,23
230690,oilcake and residues of other vegetable fats,23
230810,acorns and horsechestnuts for animal feeding,23
230910,dog or cat food put up for retail sale,23
240110,tobacco not stemmedstripped,24
240130,tobacco refuse,24
240220,cigarettes containing tobacco,24
240310,smoking tobacco with or without tobacco substit,24
250100,salt and pure sodium chloride sea water,25
250310,crude or unrefined sulphur,25
250410,natural graphite in powder or in flakes,25
250510,silica sands and quartz sands,25
250610,quartz,25
250629,quartzite cut into rectangular blocks or slabs,25
250810,bentonite,25
250830,fireclay,25
250850,andalusite kyanite and sillimanite,25
250870,chamotte or dinas earths,25
251010,unground natural calcium phosphates aluminium,25
251110,natural barium sulphate barytes,25
251200,siliceous fossil meals kieselguhr tripolite,25
251319,other pumice stone nes,25
251329,emery and other natural abrasives nes,25
251511,marble and travertine crude or roughly trimmed,25
251520,ecaussine and other calcarcous building stone,25
251612,granite merely cut into a square or rectangula,25
251622,sandstone merely cut into a square or rectangu,25
251710,pebbles gravel shingle and flint,25
251730,tarred macadam,25
251749,granules chippings and powder of stones excl,25
251820,calcined dolomite,25
251910,natural magnesium carbonate magnesite,25
252010,gypsum anhydrite,25
252100,limestone flux limestone and other calcareous,25
252220,slaked lime,25
252310,cement clinkers,25
252329,portland cement excl white,25
252390,other hydraulic cements etc,25
252510,crude mica and mica rifted into sheets or split,25
252530,mica waste,25
252620,natural steatite talc crushed or powdered,25
252810,natural sodium borates and concentrates thereof,25
252910,felspar,25
252922,fluorspar containing by weight 97 of calcium,25
253010,vermiculite perlite and chlorites unexpanded,25
253030,earth colours,25
260111,nonagglomerated iron ores and concentrates,26
260120,roasted iron pyrites,26
260300,copper ores and concentrates,26
260500,cobalt ores and concentrates,26
260700,lead ores and concentrates,26
260900,tin ores and concentrates,26
261100,tungsten ores and concentrates,26
261220,thorium ores and concentrates,26
261390,molybdenum ores and concentrates excl roasted,26
261510,zirconium ores and concentrates,26
261610,silver ores and concentrates,26
261710,antimony ores and concentrates,26
261800,granulated slag slag sand from the manufactur,26
262011,hard zinc spelter,26
262020,ash and residues containing mainly lead,26
262040,ash and residues containing mainly aluminium,26
262090,ash and residues containing other metals or met,26
270111,anthracite not agglomerated,27
270119,other coal not agglomerated nes,27
270210,lignite not agglomerated,27
270300,peat incl peat litter,27
270500,coal gas water gas producer gas and similar g,27
270710,benzole,27
270730,xylole,27
270750,aromatic hydrocarbon mixtures which 65 disti,27
270791,creosote oils,27
270810,pitch obtained from coal tar or from other mine,27
270900,petroleum oils and oils obtained from bituminou,27
271111,natural gas liquefied,27
271113,butanes liquefied,27
271119,petroleum gases and other gaseous hydrocarbons,27
271129,petroleum gases and other gaseous hydrocarbons,27
271220,paraffin wax containing 075 oil,27
271311,petroleum coke not calcined,27
271320,petroleum bitumen,27
271410,bituminous or oil shale and tar sands,27
271500,bituminous mixtures based on natural asphalt b,27
280110,chlorine,28
280130,fluorine bromine,28
280300,carbon carbon blacks and other forms of carbon,28
280421,argon,28
280430,nitrogen,28
280450,boron tellurium,28
280469,silicon containing by weight 9999 silicon,28
280480,arsenic,28
280511,sodium,28
280521,calcium,28
280530,rareearth metals scandium and yttrium,28
280610,hydrogen chloride hydrochloric acid,28
280700,sulphuric acid oleum,28
280910,diphosphorus pentaoxide,28
281000,oxides of boron boric acids,28
281119,other inorganic acids nes,28
281122,silicon dioxide,28
281129,other inorganic oxygen compounds of nonmetals,28
281290,halides and halide oxides of nonmetals nes,28
281390,sulphides of nonmetals excl carboncommercia,28
281420,ammonia in aqueous solution,28
281512,sodium hydroxide in aqueous solution soda lye,28
281530,peroxides of sodium or potassium,28
281620,oxide hydroxide and peroxide of strontium,28
281700,zinc oxide zinc peroxide,28
281820,aluminium oxide other than artificial corundum,28
281910,chromium trioxide,28
282010,manganese dioxide,28
282110,iron oxides and hydroxides,28
282200,cobalt oxides and hydroxides commercial cobalt,28
282410,lead monoxide litharge massicot,28
282490,lead oxides nes,28
282520,lithium oxide and hydroxide,28
282540,nickel oxides and hydroxides,28
282560,germanium oxides and zirconium dioxides,28
282580,antimony oxides,28
282611,fluorides of ammonium or of sodium,28
282619,fluorides nes,28
282630,sodium hexafloroaluminate synthetic cryolite,28
282710,ammonium chloride,28
282731,magnesium chloride,28
282733,iron chloride,28
282735,nickel chloride,28
282737,tin chloride,28
282739,chlorides nes,28
282749,chloride oxides and chloride hydroxides excl,28
282759,bromides and bromide oxides excl of sodium an,28
282810,commercial calcium hypochlorite and other calci,28
282911,chlorates of sodium,28
282990,perchlorates bromates and perbromates iodates,28
283020,zinc sulphide,28
283090,other sulphides and polysulphides,28
283190,dithionites and sulphoxylates excl of sodium,28
283220,sulphites excl sodium,28
283311,disodium sulphate,28
283321,sulphates of magnesium,28
283323,sulphates of chromium,28
283325,sulphates of copper,28
283327,sulphates of barium,28
283330,alums,28
283410,nitrites,28
283422,nitrates of bismuth,28
283510,phosphinates and phosphonates,28
283522,phosphates of mono or disodium,28
283524,phosphates of potassium,28
283526,phosphates of calcium nes,28
283531,sodium triphosphate sodium tripolyphosphates,28
283610,commercial ammonium carbonate and other ammoniu,28
283630,sodium hydrogencarbonate sodium bicarbonate,28
283650,calcium carbonate,28
283670,lead carbonate,28
283692,strontium carbonate,28
283699,other carbonates peroxocarbonates,28
283719,cyanides cyanide oxides excl sodium,28
283800,fulminates cyanates and thiocyanates,28
283919,silicates of sodium excl metasilicates,28
283990,other silicates excl of sodium and potassium,28
284019,disodium tetraborate not anhydrous,28
284030,peroxoborates,28
284120,chromates of zinc or of lead,28
284140,potassium dichromate,28
284160,manganites manganates and permanganates,28
284180,tungstates wolframates,28
284210,double or complex silicates,28
284310,colloidal precious metals,28
284329,silver compounds excl silver nitrate,28
284390,other compounds nes and amalgams of precious,28
284420,enriched uranium and plutonium and their compou,28
284440,radioactive elementsisotopes and their compoun,28
284510,heavy water deuterium oxide,28
284610,cerium compounds,28
284700,hydrogen peroxide,28
284890,phosphides of other metals nes or of nonmeta,28
284920,carbides of silicon,28
285000,hydrides nitrides azides silicides and borid,28
290110,acyclic hydrocarbons saturated,29
290122,propene propylene,29
290124,buta13diene and isoprene,29
290211,cyclohexane,29
290220,benzene,29
290241,oxylene,29
290243,pxylene,29
290250,styrene,29
290270,cumene,29
290311,chloromethane methyl chloride and chloroethan,29
290313,chloroform trichloromethane,29
290315,12dichloroethane ethylene dichloride,29
290319,saturated chlorinated derivatives of acyclic hy,29
290322,trichloroethylene,29
290329,unsaturated chlorinated derivatives of acyclic,29
290340,halogenated derivatives of acyclic hydrocarbons,29
290359,halogenated derivatives of cyclanic cycloter,29
290362,hexachlorobenzene and ddt111trichloro22b,29
290410,hydrocarbon derivatives containing only sulpho,29
290490,sulphonated nitrated or nitrosated derivatives,29
290512,propan1ol propyl alcohol and propan2ol i,29
290514,other butanols nes,29
290516,octanol octyl alcohol and isomers thereof,29
290519,saturated monohydric alcohols nes,29
290522,acyclic terpene alcohols,29
290531,ethylene glycol ethanediol,29
290539,other diols nes,29
290542,pentaerythritol,29
290544,dglucitol sorbitol,29
290550,halogenated or nitrosated derivatives of acy,29
290612,cyclohexanol methylcyclohexanols and dimethylc,29
290614,terpineols,29
290621,benzyl alcohol,29
290711,phenol hydroxybenzene and its salts,29
290713,octylphenol nonylphenol and their isomers sal,29
290715,naphthols and their salts,29
290721,resorcinol and its salts,29
290723,44isopropylidenediphenol bisphenol a diphen,29
290730,phenolalcohols,29
290820,phenol or phenolalcohol derivatives containing,29
290911,diethyl ether,29
290920,cyclanic cyclenic ethers and their halogena,29
290941,22oxydiethanol diethylene glycol digol,29
290943,monobutyl ethers of ethylene glycol or of dieth,29
290949,other acyclic etheralcohols and their halogena,29
290960,alcohol ether and ketone peroxides and their,29
291020,methyloxirane propylene oxide,29
291090,epoxides with a threemembered ring and deri,29
291211,methanal formaldehyde,29
291213,butanal butyaldehyde normal isomer,29
291221,benzaldehyde,29
291230,aldehydealcohols,29
291242,ethylvanillin 3ethoxy4methoxybenzaldehyde,29
291250,cyclic polymers of aldehydes,29
291300,halogenated sulphonated nitrated or nitrosate,29
291412,butanone methyl ethyl ketone,29
291419,other acyclic ketones without oxygen function,29
291422,cyclohexanone and methylcyclohexanones,29
291429,cyclanic cyclenic or cycloterpenic ketones wit,29
291441,4hydroxy4methylpentan2one diacetone alcoh,29
291450,ketonephenols and ketones with oxygen function,29
291469,quinones excl anthraquinone,29
291511,formic acid,29
291513,esters of formic acid,29
291522,sodium acetate,29
291524,acetic anhydride,29
291531,ethyl acetate,29
291533,nbutyl acetate,29
291535,2ethoxyethyl acetate,29
291540,mono di or trichloroacetic acids their salt,29
291560,butyric acids valeric acids their salts and e,29
291590,saturated acyclic monocarboxylic acids and thei,29
291612,esters of acrylic acid,29
291614,esters of methacrylic acid,29
291619,unsaturated acyclic monocarboxylic acids and th,29
291631,benzoic acid its salts and esters,29
291633,phenylacetic acid its salts and esters,29
291711,oxalic acid its salts and esters,29
291713,azelaic acid sebacic acid their salts and est,29
291719,acyclic polycarboxylic acids etc their der,29
291731,dibutyl orthophthalates,29
291733,dinonyl or didecyl orthophthalates,29
291735,phthalic anhydride,29
291737,dimethyl terephthalate,29
291811,lactic acid its salts and esters,29
291813,salts and esters of tartaric acid,29
291815,salts and esters of citric acid,29
291817,phenylglycolic acid mandelic acid its salts,29
291821,salicylic acid and its salts,29
291823,other esters of salicylic acid and their salts,29
291830,carboxylic acids with aldehyde ketone but with,29
291900,phosphoric esters etc incl lactophosphates,29
292090,esters of other inorganic acids excl of hydro,29
292112,diethylamine and its salts,29
292121,ethylenediamine and its salts,29
292129,acyclic polyamines and their derivatives nes,29
292141,aniline and its salts,29
292143,toluidines and derivatives salts thereof,29
292145,1naphthylamine 2naphthylamine and their deri,29
292151,o m pphenylenediamine diaminotoluenes et,29
292211,monoethanolamine and its salts,29
292213,triethanolamine and its salts,29
292221,aminohydroxynaphthalenesulphonic acids and thei,29
292229,aminonaphthols and phenols etc one oxygen,29
292241,lysine and its esters salts thereof,29
292249,aminoacids and their esters not 1 oxygen fun,29
292310,choline and its salts,29
292390,quaternary ammonium salts and hydroxides nes,29
292421,ureines and their derivatives salts thereof,29
292511,saccharin and its salts,29
292520,imines and their derivatives salts thereof,29
292620,1cyanoguanidine dicyanidiamide,29
292700,diazo azo or azoxycompounds,29
292910,isocyanates,29
293010,dithiocarbonates xanthates,29
293030,thiuram mono di or tetrasulphides,29
293090,other organosulphur compounds nes,29
293211,tetrahydrofuran,29
293213,furfuryl alcohol and tetrahydrofurfuryl alcohol,29
293221,coumarin methylcoumarins and ethylcoumarins,29
293290,heterocyclic compounds with oxygen heteroatom,29
293319,compounds containing an unfused pyrazole ring i,29
293329,compounds containing an unfused imidazole ring,29
293339,compounds containing an unfused pyridine ring i,29
293351,malonylurea barbituric acid and its derivativ,29
293361,melamine,29
293371,6hexanelactam epsiloncaprolactam,29
293390,heterocyclic compounds with nitrogen heteroato,29
293420,compounds containing a benzothiazole ringsyste,29
293490,other heterocyclic compounds nes,29
293610,provitamins unmixed,29
293622,vitamin b1 and its derivatives unmixed,29
293624,d or dl pantothenic acid vitamin b3 or b5 a,29
293626,vitamin b12 and its derivatives unmixed,29
293628,vitamin e and its derivatives unmixed,29
293690,other vitamines incl natural concentrates n,29
293721,cortisone hydrocortisone and predisolone d,29
293729,adrenal cortical hormones and their derivatives,29
293792,oestrogens and progestogens,29
293810,rutoside rutin and its derivatives,29
293910,alkaloids of opium and their derivatives salts,29
293929,other alkaloids of cinchona and their derivativ,29
293940,ephedrines and their salts,29
293960,alkaloids of rye ergot and their derivatives s,29
293990,other vegetable alkaloids and their salts etc,29
294110,penicillins and derivatives with a penicillanic,29
294130,tetracyclines and their derivatives salts ther,29
294150,erythromycin and its derivatives salts thereof,29
300110,glands and other organs dried,30
300190,substances of human or animal origin for proph,30
300220,vaccines for human medicine,30
300239,other vaccines for veterinary medicine excl f,30
300310,medicaments of penicillins or streptomycins,30
300331,medicaments of insulin not for retail sale,30
300340,medicaments of alkaloids or derivatives thereof,30
300410,medicaments of penicillins or streptomycins,30
300431,medicaments of insulin for retail sale,30
300439,medicaments of other hormones for retail sale,30
300450,other medicaments of vitamins or other products,30
300510,adhesive dressings for medical purposes,30
300610,materials for surgical sutures laminaria  abs,30
300630,opacifying preparations for xray examinations,30
300650,firstaid boxes and kits,30
310100,animal or vegetable fertilizers,31
310221,ammonium sulphate,31
310230,ammonium nitrate,31
310250,sodium nitrate,31
310270,calcium cyanamide,31
310290,mineral or chemical fertilizers nitrogenous,31
310320,basic slag,31
310410,carnallite sylvite and other crude natural pot,31
310430,potassium sulphate,31
310510,fertilizers in packages of a gross weight,31
310530,diammonium hydrogenorthophosphate diammonium p,31
310551,mineral or chemical fertilizers containing nitr,31
310560,mineral or chemical fertilizers with phosphorus,31
320110,quebracho extract,32
320130,oak or chestnut extract,32
320210,synthetic organic tanning substances,32
320300,colouring matter of vegetable or animal origin,32
320412,acid dyes and preparations mordant dyes and pr,32
320414,direct dyes and preparations based thereon,32
320416,reactive dyes and preparations based thereon,32
320419,synthetic organic colouring matter and preparat,32
320490,synthetic organic products used as luminophores,32
320610,pigments and preparations based on titanium dio,32
320630,pigments and preparations based on cadminum com,32
320642,lithopone and other pigments and preparations b,32
320649,other colouring matter preparations as specifi,32
320710,prepared pigments opacifiers and colours fo,32
320730,liquid lustres and similar preparations,32
320810,paints based on polyesters in a nonaqueous,32
320890,paints and varnishes in a nonaqueous medium,32
320990,paints and varnishes in an aqueous medium nes,32
321100,prepared driers,32
321290,pigments in nonaqueous media nes for retail,32
321390,artists students or signboard painters colo,32
321490,glaziers putty etc nonrefractory surfacing p,32
321519,printing ink whether or not concentrated or so,32
330111,essential oils of bergamot incl concretes and,33
330113,essential oils of lemon incl concretes and ab,33
330119,essential oils of citrus fruit incl concretes,33
330122,essential oils of jasmin incl concretes and a,33
330124,essential oils of peppermint incl concretes a,33
330126,essential oils of vetiver incl concretes and,33
330130,resinoids,33
330210,mixtures of odoriferous substances for the foo,33
330300,perfumes and toilet waters,33
330420,eye makeup preparations,33
330491,powders whether or not compressed for cosmeti,33
330510,shampoos,33
330530,hair lacquers,33
330610,dentifrices,33
330710,preshave shaving or aftershave preparations,33
330730,perfumed bath salts and other bath preparations,33
330749,preparations for deodorizing rooms nes,33
340111,soap and organic surfaceactive products in bar,34
340120,soap in other forms nes,34
340212,cationic surfaceactive agents excl soap,34
340219,organic surfaceactive agents excl soap ne,34
340290,washing and cleaning preparations not put up f,34
340319,other lubricating preparations with 70 petro,34
340399,other lubricating preparations nes,34
340420,artificial waxes of polyethylene glycol,34
340510,polishes creams and similar preparations for f,34
340530,polishes and similar preparations for coachwork,34
340590,other polishes creams and similar preparations,34
350110,casein,35
350210,egg albumin,35
350300,gelatin and derivatives isinglass glues of an,35
350510,dextrins and other modified starches,35
350610,products put up as glues or adhesives for retai,35
350699,prepared glues and other prepared adhesives ne,35
360100,propellent powders,36
360300,safety fuses detonating fuses caps igniters,36
360490,signalling flares and other pyrotechnic arti,36
360610,liquid or liquefiedgas fuels in containers fo,36
370110,photographic plates for xray in the flat,37
370130,plates and film in the flat with any side 255,37
370199,photographic plates and film in the flat excl,37
370220,instant print film in rolls unexposed,37
370232,film in rolls nonperforated with silver,37
370241,polychrome film in rolls nonperforated widt,37
370243,film in rolls nonperforated width 610mm an,37
370251,polychrome film in rolls width 16mm and len,37
370253,polychrome slide film in rolls width 16mm bu,37
370255,polychrome film in rolls width 16mm but 35,37
370291,film in rolls width 16mm and length 14m,37
370293,film in rolls width 16mm but 35mm and leng,37
370295,film in rolls width 35mm excl colour,37
370320,photographic paper paperboard and textilles fo,37
370400,photographic plates film paper exposed bu,37
370520,microfilms exposed and developed,37
370610,cinematographic film exposed and developed wi,37
